iter	Passed	Remaining
0	149	149843
1	160	80248
2	165	55164
3	170	42544
4	174	34742
5	177	29444
6	179	25495
7	182	22661
8	188	20702
9	191	18924
10	194	17515
11	198	16303
12	202	15378
13	206	14510
14	209	13761
15	212	13091
16	215	12488
17	220	12056
18	224	11573
19	227	11143
20	230	10753
21	235	10466
22	239	10175
23	242	9870
24	245	9591
25	249	9347
26	253	9119
27	256	8901
28	259	8691
29	262	8494
30	266	8343
31	270	8191
32	274	8030
33	277	7873
34	280	7730
35	284	7622
36	287	7488
37	290	7362
38	293	7242
39	298	7171
40	302	7065
41	305	6965
42	308	6870
43	312	6789
44	317	6741
45	322	6683
46	325	6605
47	328	6524
48	333	6470
49	336	6392
50	339	6316
51	343	6256
52	348	6226
53	351	6161
54	354	6097
55	358	6036
56	361	5976
57	365	5939
58	368	5883
59	371	5827
60	375	5777
61	378	5729
62	382	5690
63	385	5639
64	388	5593
65	391	5546
66	395	5512
67	399	5471
68	402	5427
69	405	5384
70	408	5343
71	412	5313
72	415	5276
73	418	5238
74	421	5202
75	424	5166
76	429	5145
77	432	5111
78	435	5081
79	439	5049
80	442	5016
81	446	4995
82	449	4965
83	453	4947
84	456	4917
85	461	4903
86	464	4877
87	468	4850
88	471	4822
89	474	4798
90	479	4788
91	482	4765
92	486	4740
93	489	4717
94	493	4705
95	497	4684
96	502	4674
97	505	4653
98	508	4630
99	512	4614
100	517	4605
101	522	4596
102	525	4574
103	528	4556
104	533	4544
105	536	4528
106	540	4510
107	543	4489
108	546	4468
109	553	4481
110	557	4465
111	560	4446
112	565	4438
113	568	4422
114	572	4405
115	575	4386
116	579	4370
117	583	4362
118	587	4348
119	590	4331
120	594	4315
121	599	4312
122	602	4295
123	605	4280
124	608	4262
125	613	4255
126	617	4243
127	620	4227
128	623	4212
129	627	4197
130	632	4195
131	635	4179
132	638	4164
133	642	4150
134	646	4141
135	650	4130
136	653	4115
137	657	4108
138	662	4102
139	665	4090
140	669	4076
141	672	4065
142	675	4050
143	680	4047
144	684	4033
145	689	4031
146	694	4031
147	697	4018
148	701	4008
149	704	3994
150	708	3983
151	712	3976
152	716	3966
153	719	3953
154	722	3941
155	726	3930
156	730	3923
157	733	3911
158	737	3898
159	740	3888
160	745	3883
161	749	3878
162	753	3866
163	756	3855
164	761	3853
165	765	3845
166	768	3835
167	771	3823
168	777	3821
169	780	3810
170	783	3800
171	787	3788
172	791	3781
173	794	3771
174	797	3760
175	800	3749
176	803	3738
177	808	3732
178	811	3721
179	814	3710
180	817	3699
181	820	3689
182	826	3690
183	830	3682
184	833	3672
185	836	3661
186	840	3655
187	844	3645
188	847	3635
189	850	3624
190	854	3617
191	858	3613
192	861	3604
193	865	3594
194	868	3584
195	873	3582
196	876	3572
197	879	3562
198	882	3552
199	885	3543
200	889	3537
201	892	3527
202	894	3509
203	896	3500
204	900	3490
205	903	3480
206	906	3473
207	909	3464
208	912	3455
209	916	3446
210	920	3440
211	923	3432
212	926	3423
213	929	3414
214	932	3405
215	936	3399
216	939	3391
217	942	3382
218	946	3376
219	951	3372
220	955	3369
221	960	3364
222	963	3356
223	966	3348
224	970	3342
225	974	3338
226	978	3331
227	981	3323
228	985	3318
229	988	3310
230	992	3302
231	995	3293
232	998	3285
233	1002	3281
234	1005	3273
235	1008	3265
236	1011	3257
237	1014	3248
238	1018	3243
239	1021	3236
240	1025	3228
241	1028	3220
242	1031	3214
243	1035	3207
244	1038	3199
245	1041	3191
246	1044	3184
247	1048	3178
248	1052	3174
249	1055	3166
250	1058	3159
251	1061	3151
252	1066	3147
253	1071	3145
254	1075	3140
255	1078	3133
256	1082	3129
257	1086	3125
258	1089	3117
259	1092	3110
260	1096	3105
261	1100	3099
262	1103	3091
263	1106	3084
264	1109	3077
265	1113	3073
266	1117	3066
267	1120	3059
268	1123	3052
269	1126	3045
270	1130	3041
271	1133	3034
272	1136	3027
273	1140	3020
274	1143	3013
275	1147	3009
276	1150	3002
277	1153	2995
278	1156	2988
279	1159	2981
280	1163	2977
281	1166	2971
282	1170	2964
283	1173	2957
284	1176	2952
285	1180	2947
286	1183	2940
287	1186	2934
288	1190	2928
289	1195	2925
290	1198	2919
291	1201	2912
292	1204	2907
293	1208	2902
294	1212	2897
295	1215	2891
296	1218	2884
297	1222	2878
298	1225	2872
299	1228	2867
300	1232	2861
301	1235	2854
302	1238	2850
303	1243	2846
304	1246	2840
305	1249	2834
306	1254	2831
307	1257	2826
308	1261	2820
309	1264	2814
310	1267	2808
311	1270	2802
312	1274	2797
313	1277	2792
314	1281	2786
315	1284	2780
316	1287	2773
317	1291	2769
318	1294	2763
319	1298	2759
320	1301	2753
321	1305	2747
322	1309	2743
323	1312	2738
324	1315	2732
325	1318	2726
326	1322	2721
327	1326	2716
328	1329	2710
329	1332	2704
330	1336	2700
331	1340	2697
332	1344	2692
333	1347	2686
334	1350	2681
335	1353	2675
336	1358	2672
337	1361	2666
338	1364	2660
339	1367	2654
340	1371	2651
341	1374	2645
342	1378	2639
343	1381	2633
344	1384	2628
345	1388	2623
346	1391	2618
347	1394	2612
348	1397	2607
349	1400	2601
350	1405	2599
351	1409	2594
352	1412	2588
353	1415	2583
354	1419	2578
355	1423	2574
356	1426	2569
357	1429	2564
358	1433	2558
359	1437	2555
360	1440	2550
361	1443	2544
362	1446	2539
363	1450	2533
364	1454	2530
365	1457	2524
366	1460	2519
367	1464	2514
368	1470	2514
369	1473	2509
370	1476	2503
371	1479	2498
372	1482	2492
373	1487	2489
374	1490	2484
375	1493	2479
376	1496	2473
377	1499	2468
378	1504	2464
379	1507	2459
380	1512	2457
381	1515	2451
382	1520	2449
383	1524	2445
384	1527	2440
385	1530	2435
386	1535	2431
387	1538	2426
388	1541	2421
389	1544	2416
390	1547	2410
391	1552	2407
392	1555	2402
393	1558	2397
394	1561	2391
395	1564	2386
396	1569	2383
397	1572	2378
398	1575	2372
399	1578	2367
400	1582	2363
401	1585	2358
402	1588	2353
403	1591	2348
404	1595	2343
405	1598	2339
406	1602	2334
407	1605	2329
408	1608	2324
409	1612	2320
410	1617	2317
411	1620	2312
412	1623	2307
413	1626	2302
414	1629	2297
415	1633	2293
416	1636	2288
417	1639	2283
418	1642	2278
419	1646	2273
420	1650	2269
421	1653	2264
422	1656	2259
423	1659	2254
424	1662	2249
425	1666	2245
426	1669	2240
427	1672	2235
428	1675	2230
429	1679	2226
430	1682	2221
431	1686	2216
432	1689	2211
433	1692	2207
434	1696	2203
435	1699	2198
436	1702	2193
437	1705	2188
438	1708	2183
439	1713	2180
440	1716	2175
441	1720	2171
